,Year,Player,Pos,Age,Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PPG
0,2005,Kris Humphries,PF,19,UTA,67,13.0,1.7,4.3,.404,0.0,0.1,.333,1.7,4.2,.406,.408,0.7,1.5,.436,1.1,1.9,2.9,0.6,0.4,0.3,0.8,1.4,4.1
1,2006,Kris Humphries,PF,20,UTA,62,10.0,1.2,3.3,.379,0.0,0.1,.000,1.2,3.2,.389,.379,0.5,1.0,.523,0.9,1.6,2.5,0.5,0.4,0.3,0.5,1.3,3.0
2,2007,Kris Humphries,PF,21,TOR,60,11.2,1.5,3.1,.470,0.0,0.0,,1.5,3.1,.470,.470,0.9,1.3,.671,1.3,1.8,3.1,0.3,0.2,0.4,0.5,1.6,3.8
3,2008,Kris Humphries,PF,22,TOR,70,13.2,2.3,4.8,.483,0.0,0.0,.000,2.3,4.7,.486,.483,1.1,1.8,.605,1.3,2.4,3.7,0.4,0.4,0.4,0.7,1.5,5.7
4,2009,Kris Humphries,SF,23,TOR,29,9.1,1.3,3.1,.422,0.0,0.0,,1.3,3.1,.422,.422,1.3,1.7,.792,0.8,1.6,2.4,0.3,0.3,0.2,0.3,1.1,3.9
5,2010,Kris Humphries,PF,24,TOT,69,17.7,2.6,5.9,.441,0.0,0.0,.000,2.6,5.9,.442,.441,1.8,2.8,.668,1.7,3.7,5.5,0.5,0.5,0.7,1.0,2.1,7.1
6,2011,Kris Humphries,PF,25,NJN,74,27.9,4.1,7.9,.527,0.0,0.0,.000,4.1,7.9,.527,.527,1.7,2.6,.665,3.0,7.4,10.4,1.1,0.4,1.1,1.4,2.3,10.0
7,2012,Kris Humphries,PF,26,NJN,62,34.9,5.2,10.8,.481,0.0,0.0,,5.2,10.8,.481,.481,3.4,4.5,.752,3.8,7.2,11.0,1.5,0.8,1.2,1.9,2.8,13.8
8,2013,Kris Humphries,PF,27,BRK,65,18.3,2.1,4.8,.448,0.0,0.0,.000,2.1,4.7,.451,.448,1.5,1.9,.789,1.9,3.7,5.6,0.5,0.2,0.5,0.9,2.0,5.8
9,2014,Kris Humphries,PF,28,BOS,69,19.9,3.3,6.7,.501,0.0,0.0,.000,3.3,6.7,.503,.501,1.7,2.1,.813,1.8,4.1,5.9,1.0,0.4,0.9,0.9,2.0,8.4
10,2015,Kris Humphries,PF,29,WAS,64,21.0,3.3,7.0,.473,0.0,0.1,.000,3.3,6.9,.481,.473,1.4,1.8,.744,1.8,4.7,6.5,0.9,0.5,0.4,0.7,2.0,8.0
11,2016,Kris Humphries,PF,30,TOT,53,15.8,2.3,5.6,.410,0.6,2.0,.315,1.6,3.5,.465,.468,1.3,1.6,.798,1.1,3.0,4.1,0.7,0.3,0.4,0.7,1.8,6.5
12,2017,Kris Humphries,PF,31,ATL,56,12.3,1.6,3.8,.407,0.3,1.0,.352,1.2,2.9,.425,.451,1.1,1.5,.780,1.1,2.6,3.7,0.5,0.3,0.4,0.5,1.2,4.6
