,Year,Player,Pos,Age,Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PPG
0,2012,Tristan Thompson,PF,20,CLE,60,23.7,3.2,7.4,0.439,0,0,0,3.2,7.3,0.441,0.439,1.8,3.2,0.552,3.1,3.4,6.5,0.5,0.5,1,1.4,2.2,8.2
1,2013,Tristan Thompson,PF,21,CLE,82,31.3,4.8,9.7,0.488,0,0,0,4.8,9.7,0.49,0.488,2.2,3.5,0.608,3.7,5.7,9.4,1.3,0.7,0.9,1.5,2.9,11.7
2,2014,Tristan Thompson,PF,22,CLE,82,31.6,4.4,9.3,0.477,0,0,0,4.4,9.3,0.478,0.477,2.9,4.1,0.693,3.3,5.9,9.2,0.9,0.5,0.4,1.3,2.3,11.7
3,2015,Tristan Thompson,PF,23,CLE,82,26.8,3.3,6,0.547,0,0,,3.3,6,0.547,0.547,1.9,3,0.641,3.3,4.7,8,0.5,0.4,0.7,1,2.3,8.5
4,2016,Tristan Thompson,PF,24,CLE,82,27.7,3,5.1,0.588,0,0,,3,5.1,0.588,0.588,1.8,3,0.616,3.3,5.7,9,0.8,0.5,0.6,0.7,2.5,7.8
5,2017,Tristan Thompson,C,25,CLE,78,29.9,3.4,5.6,0.6,0,0,0,3.4,5.6,0.604,0.6,1.4,2.7,0.498,3.7,5.5,9.2,1,0.5,1.1,0.8,2.3,8.1
6,2018,Tristan Thompson,C,26,CLE,53,20.2,2.5,4.4,0.562,0,0,,2.5,4.4,0.562,0.562,0.8,1.5,0.544,2.4,4.3,6.6,0.6,0.3,0.3,0.7,1.9,5.8
7,2019,Tristan Thompson,C,27,CLE,43,27.9,4.7,8.8,0.529,0,0,,4.7,8.8,0.529,0.529,1.6,2.5,0.642,4,6.2,10.2,2,0.7,0.4,1.4,2.1,10.9
8,2020,Tristan Thompson,PF,28,CLE,57,30.2,5.1,9.9,0.512,0.2,0.4,0.391,4.9,9.5,0.518,0.52,1.7,2.8,0.615,4,6.2,10.1,2.1,0.6,0.9,1.8,2.2,12
9,2021,Tristan Thompson,PF,29,BOS,54,23.8,3.1,6,0.518,0,0.1,0,3.1,6,0.523,0.518,1.3,2.2,0.592,3.1,5,8.1,1.2,0.4,0.6,1.1,2.2,7.6
10,2022,Tristan Thompson,PF,30,TOT,57,15.7,2.5,4.7,0.528,0,0.1,0.333,2.5,4.6,0.53,0.53,1.1,2,0.526,2.1,2.9,5.1,0.6,0.4,0.4,0.8,1.7,6
11,2022,Tristan Thompson,PF,30,SAC,30,15.2,2.5,5,0.503,0,0,1,2.5,5,0.5,0.507,1.1,2,0.533,2.4,3,5.4,0.6,0.4,0.4,1,1.7,6.2
12,2022,Tristan Thompson,PF,30,IND,4,16.5,3.3,6,0.542,0,0,0,3.3,6,0.542,0.542,0.8,2,0.375,1.8,2.8,4.5,0.5,0,0.5,1,1.8,7.3
13,2022,Tristan Thompson,PF,30,CHI,23,16.3,2.3,4,0.565,0,0.1,0,2.3,3.9,0.578,0.565,1.1,2.1,0.542,1.8,3,4.7,0.6,0.5,0.3,0.5,1.7,5.7
