,g,date,age,tm,,opp,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
0,1,2017-10-18,21-090,PHI,L (-5),WAS,1,34:40,7,14,.500,0,0,,4,6,.667,3,7,10,5,2,1,1,3,18,18.4,+3
1,2,2017-10-20,21-092,PHI,L (-10),BOS,1,36:54,4,11,.364,0,0,,3,6,.500,3,8,11,5,1,0,4,2,11,7.9,-7
2,3,2017-10-21,21-093,PHI,L (-34),TOR,1,33:23,7,16,.438,0,2,.000,4,8,.500,1,9,10,8,0,0,3,0,18,14.0,-20
3,4,2017-10-23,21-095,PHI,W (+11),DET,1,33:36,8,11,.727,0,0,,5,6,.833,2,10,12,10,1,0,4,2,21,23.7,+12
4,5,2017-10-25,21-097,PHI,L (-1),HOU,1,34:04,7,17,.412,0,1,.000,0,2,.000,2,5,7,9,3,1,4,2,14,12.2,-13
5,6,2017-10-28,21-100,PHI,W (+2),DAL,1,33:38,10,15,.667,0,0,,3,4,.750,2,5,7,8,3,1,1,3,23,26.1,-1
6,7,2017-10-30,21-102,PHI,W (+8),HOU,1,38:34,10,15,.667,0,1,.000,4,9,.444,1,6,7,9,0,0,5,3,24,18.1,+10
7,8,2017-11-01,21-104,PHI,W (+10),ATL,1,33:30,8,16,.500,0,1,.000,3,6,.500,4,9,13,9,2,0,4,2,19,18.8,+14
8,9,2017-11-03,21-106,PHI,W (+11),IND,1,38:32,5,13,.385,0,0,,4,4,1.000,2,9,11,11,2,3,5,3,14,16.6,+12
9,10,2017-11-07,21-110,PHI,W (+7),UTA,1,36:04,7,22,.318,0,1,.000,2,2,1.000,1,12,13,6,3,3,6,5,16,9.0,+2
10,11,2017-11-09,21-112,PHI,L (-1),SAC,1,26:53,6,8,.750,0,0,,6,8,.750,0,2,2,6,2,0,4,5,18,14.8,+4
11,12,2017-11-11,21-114,PHI,L (-21),GSW,1,28:52,6,17,.353,0,0,,1,4,.250,3,2,5,8,2,0,4,1,13,8.2,-10
12,13,2017-11-13,21-116,PHI,W (+4),LAC,1,37:33,9,14,.643,0,1,.000,4,6,.667,4,8,12,4,1,1,5,5,22,17.7,+7
13,14,2017-11-15,21-118,PHI,W (+6),LAL,1,39:06,8,13,.615,0,0,,2,4,.500,3,6,9,10,5,1,1,1,18,26.5,+19
14,15,2017-11-18,21-121,PHI,L (-8),GSW,1,37:46,11,15,.733,0,0,,1,2,.500,2,6,8,12,1,0,1,3,23,26.9,+7
15,16,2017-11-20,21-123,PHI,W (+21),UTA,1,34:16,13,24,.542,0,0,,1,4,.250,2,8,10,2,4,0,4,2,27,18.6,+6
16,17,2017-11-22,21-125,PHI,W (+20),POR,1,39:04,8,20,.400,0,0,,0,2,.000,0,8,8,9,3,2,3,1,16,14.1,+18
17,,2017-11-25,21-128,PHI,W (+19),ORL,Did Not Dress,,,,,,,,,,,,,,,,,,,,,
18,18,2017-11-27,21-130,PHI,L (-22),CLE,1,35:09,5,11,.455,0,0,,0,0,,3,5,8,2,3,1,4,3,10,7.8,-16
19,19,2017-11-29,21-132,PHI,W (+5),WAS,1,40:36,8,16,.500,0,1,.000,15,29,.517,5,13,18,4,2,2,6,3,31,23.8,+11
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,20,2017-11-30,21-133,PHI,L (-11),BOS,1,39:56,6,14,.429,0,0,,3,4,.750,4,2,6,7,5,0,5,1,15,15.1,-10
22,21,2017-12-02,21-135,PHI,W (+5),DET,1,39:11,2,6,.333,0,0,,1,2,.500,3,7,10,6,0,2,4,3,5,5.8,+6
23,22,2017-12-04,21-137,PHI,L (-14),PHO,1,36:13,9,18,.500,0,0,,2,2,1.000,1,7,8,7,6,0,3,3,20,20.5,-10
24,23,2017-12-07,21-140,PHI,L (-3),LAL,1,42:34,6,14,.429,0,0,,0,2,.000,0,12,12,15,0,1,4,4,12,13.0,+9
25,24,2017-12-09,21-142,PHI,L (-7),CLE,1,35:32,7,13,.538,0,0,,0,0,,0,6,6,10,1,1,7,3,14,10.0,-6
26,25,2017-12-10,21-143,PHI,L (-7),NOP,1,35:53,10,16,.625,0,0,,7,9,.778,2,3,5,10,0,1,5,4,27,22.4,-4
27,26,2017-12-12,21-145,PHI,W (+6),MIN,1,40:20,3,8,.375,0,0,,1,3,.333,0,3,3,8,1,0,7,0,7,2.3,+3
28,27,2017-12-15,21-148,PHI,L (-2),OKC,1,51:34,6,10,.600,0,0,,0,2,.000,1,8,9,11,4,0,3,5,12,16.4,-3
