,G,2018 Playoffs,Series,Tm,,Opp,G#,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,2018-04-14,EC1,PHI,,MIA,1,W (+27),1,34:03,5,13,.385,0,0,,7,10,.700,3,6,9,14,2,0,5,4,17,17.8,+15
1,2,2018-04-16,EC1,PHI,,MIA,2,L (-10),1,39:02,10,17,.588,0,0,,4,6,.667,3,6,9,8,0,2,2,5,24,22.2,-9
2,3,2018-04-19,EC1,PHI,@,MIA,3,W (+20),1,40:15,6,13,.462,0,1,.000,7,8,.875,1,11,12,7,4,0,3,3,19,20.6,+24
3,4,2018-04-21,EC1,PHI,@,MIA,4,W (+4),1,39:02,8,13,.615,0,0,,1,4,.250,4,9,13,10,4,0,7,3,17,18.2,+3
4,5,2018-04-24,EC1,PHI,,MIA,5,W (+13),1,35:12,4,10,.400,0,0,,6,7,.857,1,9,10,6,2,1,3,4,14,13.9,+9
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,2018-04-30,ECS,PHI,@,BOS,1,L (-16),1,41:52,6,11,.545,0,0,,6,11,.545,0,7,7,6,2,1,7,4,18,11.1,-21
7,7,2018-05-03,ECS,PHI,@,BOS,2,L (-5),1,30:50,0,4,.000,0,0,,1,2,.500,0,5,5,7,0,1,5,2,1,-0.9,-23
8,8,2018-05-05,ECS,PHI,,BOS,3,L (-3),1,42:41,8,14,.571,0,0,,0,0,,1,7,8,8,1,2,4,1,16,15.8,-11
9,9,2018-05-07,ECS,PHI,,BOS,4,W (+11),1,32:35,6,15,.400,0,0,,7,8,.875,1,12,13,5,2,0,4,3,19,15.1,+5
10,10,2018-05-09,ECS,PHI,@,BOS,5,L (-2),1,33:50,8,15,.533,0,0,,2,2,1.000,2,6,8,6,0,1,4,5,18,12.8,-13
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1,2019-04-13,EC1,PHI,,BRK,1,L (-9),1,32:11,4,9,.444,0,0,,1,5,.200,4,3,7,3,1,3,3,4,9,7.0,-21
13,2,2019-04-15,EC1,PHI,,BRK,2,W (+22),1,29:48,8,12,.667,0,0,,2,4,.500,4,6,10,12,2,0,3,3,18,22.8,+23
14,3,2019-04-18,EC1,PHI,@,BRK,3,W (+16),1,38:27,11,13,.846,0,0,,9,11,.818,1,3,4,9,2,3,3,5,31,32.5,+11
15,4,2019-04-20,EC1,PHI,@,BRK,4,W (+4),1,38:53,7,12,.583,0,0,,1,1,1.000,2,6,8,8,1,0,4,4,15,13.6,+8
16,5,2019-04-23,EC1,PHI,,BRK,5,W (+22),1,27:14,6,10,.600,0,0,,1,3,.333,1,4,5,6,0,0,2,0,13,11.7,+34
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,6,2019-04-27,ECS,PHI,@,TOR,1,L (-13),1,33:54,7,8,.875,0,0,,0,1,.000,3,6,9,3,2,0,2,4,14,15.2,-7
19,7,2019-04-29,ECS,PHI,@,TOR,2,W (+5),1,44:22,3,6,.500,0,0,,0,0,,0,7,7,5,2,1,4,3,6,6.1,+2
20,8,2019-05-02,ECS,PHI,,TOR,3,W (+21),1,36:15,5,13,.385,0,0,,0,0,,3,4,7,7,0,0,1,3,10,8.9,+7
21,9,2019-05-05,ECS,PHI,,TOR,4,L (-5),1,38:16,5,10,.500,0,0,,0,2,.000,1,4,5,4,2,1,0,5,10,9.6,-16
22,10,2019-05-07,ECS,PHI,@,TOR,5,L (-36),1,25:09,3,5,.600,0,0,,1,1,1.000,0,7,7,4,2,1,5,4,7,5.7,-8
23,11,2019-05-09,ECS,PHI,,TOR,6,W (+11),1,33:47,9,13,.692,0,0,,3,6,.500,4,4,8,6,0,0,0,5,21,20.5,+4
24,12,2019-05-12,ECS,PHI,@,TOR,7,L (-2),1,42:27,4,5,.800,0,0,,5,6,.833,1,7,8,5,1,3,5,5,13,13.1,+2
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,2020-08-17,EC1,PHI,@,BOS,1,L (-8),Inactive,,,,,,,,,,,,,,,,,,,,,
27,,2020-08-19,EC1,PHI,@,BOS,2,L (-27),Inactive,,,,,,,,,,,,,,,,,,,,,
28,,2020-08-21,EC1,PHI,,BOS,3,L (-8),Inactive,,,,,,,,,,,,,,,,,,,,,
29,,2020-08-23,EC1,PHI,,BOS,4,L (-4),Inactive,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1,2021-05-23,EC1,PHI,,WAS,1,W (+7),1,38:05,3,9,.333,0,1,.000,0,6,.000,8,7,15,15,1,1,2,4,6,14.8,+18
32,2,2021-05-26,EC1,PHI,,WAS,2,W (+25),1,28:34,11,15,.733,0,0,,0,0,,2,7,9,8,2,1,2,1,22,25.3,+18
33,3,2021-05-29,EC1,PHI,@,WAS,3,W (+29),1,30:16,7,10,.700,0,0,,0,3,.000,2,3,5,9,1,0,2,1,14,15.8,+27
