,G,2012 Playoffs,Series,Tm,,Opp,G#,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,2012-04-29,WC1,LAC,@,MEM,1,W (+1),1,34:44,7,15,.467,0,1,.000,3,4,.750,2,5,7,1,3,0,2,5,17,11.5,-3
1,2,2012-05-02,WC1,LAC,@,MEM,2,L (-7),1,42:43,9,15,.600,0,0,,4,6,.667,1,8,9,2,2,0,4,5,22,14.8,+3
2,3,2012-05-05,WC1,LAC,,MEM,3,W (+1),1,32:39,7,13,.538,0,0,,3,9,.333,0,4,4,2,1,0,5,5,17,4.9,-7
3,4,2012-05-07,WC1,LAC,,MEM,4,W (+4),1,37:11,10,15,.667,0,0,,10,17,.588,3,2,5,7,1,0,2,6,30,24.9,+18
4,5,2012-05-09,WC1,LAC,@,MEM,5,L (-12),1,39:14,6,11,.545,0,0,,3,6,.500,3,8,11,0,3,0,2,3,15,12.8,-3
5,6,2012-05-11,WC1,LAC,,MEM,6,L (-2),1,32:45,6,11,.545,0,0,,5,6,.833,1,4,5,6,3,0,1,3,17,18.2,-2
6,7,2012-05-13,WC1,LAC,@,MEM,7,W (+10),1,28:17,3,11,.273,0,0,,2,3,.667,3,1,4,0,2,2,2,3,8,3.7,-5
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,2012-05-15,WCS,LAC,@,SAS,1,L (-16),1,28:24,7,17,.412,0,0,,1,2,.500,2,7,9,4,1,3,3,2,15,11.1,-24
9,9,2012-05-17,WCS,LAC,@,SAS,2,L (-17),1,36:51,7,16,.438,0,0,,6,8,.750,0,1,1,1,1,1,2,3,20,10.3,-16
10,10,2012-05-19,WCS,LAC,,SAS,3,L (-10),1,43:15,13,24,.542,0,0,,2,2,1.000,4,12,16,2,2,3,2,4,28,24.7,-5
11,11,2012-05-20,WCS,LAC,,SAS,4,L (-3),1,36:54,9,20,.450,0,0,,3,3,1.000,0,5,5,2,1,1,0,2,21,14.4,+3
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1,2013-04-20,WC1,LAC,,MEM,1,W (+21),1,25:27,3,9,.333,0,0,,4,5,.800,1,4,5,3,0,2,2,6,10,5.5,+15
14,2,2013-04-22,WC1,LAC,,MEM,2,W (+2),1,34:29,9,18,.500,0,0,,3,5,.600,2,6,8,4,0,1,4,3,21,12.7,-6
15,3,2013-04-25,WC1,LAC,@,MEM,3,L (-12),1,32:52,5,12,.417,0,0,,6,7,.857,0,2,2,1,0,2,2,5,16,7.9,-17
16,4,2013-04-27,WC1,LAC,@,MEM,4,L (-21),1,31:30,7,13,.538,0,0,,5,5,1.000,2,8,10,2,0,0,3,3,19,13.7,-20
17,5,2013-04-30,WC1,LAC,,MEM,5,L (-10),1,19:34,2,7,.286,0,0,,0,0,,0,5,5,5,0,0,2,3,4,1.7,-11
18,6,2013-05-03,WC1,LAC,@,MEM,6,L (-13),0,13:56,3,5,.600,0,0,,3,4,.750,3,0,3,0,0,0,0,4,9,6.8,+5
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1,2014-04-19,WC1,LAC,,GSW,1,L (-4),1,19:14,6,13,.462,0,0,,4,4,1.000,2,1,3,3,0,1,1,6,16,10.4,+9
21,2,2014-04-21,WC1,LAC,,GSW,2,W (+40),1,29:32,13,17,.765,0,0,,9,10,.900,2,4,6,1,2,0,3,0,35,30.2,+22
22,3,2014-04-24,WC1,LAC,@,GSW,3,W (+2),1,43:44,15,25,.600,0,1,.000,2,9,.222,4,4,8,3,2,1,3,2,32,22.7,+1
23,4,2014-04-27,WC1,LAC,@,GSW,4,L (-21),1,35:55,8,14,.571,0,0,,5,5,1.000,2,4,6,3,2,0,4,4,21,15.5,-22
24,5,2014-04-29,WC1,LAC,,GSW,5,W (+10),1,35:35,6,14,.429,0,0,,6,8,.750,3,4,7,4,2,0,2,5,18,13.9,+6
25,6,2014-05-01,WC1,LAC,@,GSW,6,L (-1),1,39:57,8,23,.348,0,2,.000,1,2,.500,2,6,8,5,0,1,3,6,17,5.7,0
