,G,2010 Playoffs,Series,Tm,,Opp,G#,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,2010-04-18,WC1,OKC,@,LAL,1,L (-8),0,16:20,0,3,.000,0,3,.000,0,0,,0,0,0,0,0,0,1,4,0,-4.7,-11
1,2,2010-04-20,WC1,OKC,@,LAL,2,L (-3),0,9:36,0,2,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,0,0,-0.4,-6
2,3,2010-04-22,WC1,OKC,,LAL,3,W (+5),0,31:56,4,7,.571,3,4,.750,7,8,.875,0,5,5,3,2,0,0,2,18,19.1,+12
3,4,2010-04-24,WC1,OKC,,LAL,4,W (+21),0,24:02,3,6,.500,2,4,.500,7,8,.875,0,5,5,4,2,1,1,6,15,15.2,+13
4,5,2010-04-27,WC1,OKC,@,LAL,5,L (-24),0,25:12,4,10,.400,1,3,.333,2,3,.667,1,1,2,1,0,0,1,1,11,5.5,-3
5,6,2010-04-30,WC1,OKC,,LAL,6,L (-1),0,12:57,1,3,.333,0,1,.000,0,0,,0,2,2,2,2,0,0,1,2,3.9,-1
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,2011-04-17,WC1,OKC,,DEN,1,W (+4),0,25:48,1,5,.200,0,4,.000,3,4,.750,0,3,3,4,1,2,0,2,5,6.8,+7
8,2,2011-04-20,WC1,OKC,,DEN,2,W (+17),0,28:12,5,9,.556,2,5,.400,6,6,1.000,1,4,5,1,0,0,1,4,18,13.7,+4
9,3,2011-04-23,WC1,OKC,@,DEN,3,W (+3),0,31:44,3,8,.375,2,4,.500,2,4,.500,0,5,5,2,2,0,1,4,10,7.1,+11
10,4,2011-04-25,WC1,OKC,@,DEN,4,L (-3),0,31:23,2,5,.400,1,3,.333,2,2,1.000,1,7,8,5,1,2,3,4,7,8.4,+1
11,5,2011-04-27,WC1,OKC,,DEN,5,W (+3),0,32:25,2,7,.286,2,6,.333,6,8,.750,0,7,7,3,2,1,2,2,12,11.2,+4
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,6,2011-05-01,WCS,OKC,,MEM,1,L (-13),0,23:52,2,5,.400,1,3,.333,0,0,,0,2,2,2,1,0,2,5,5,1.3,-9
14,7,2011-05-03,WCS,OKC,,MEM,2,W (+9),0,30:21,5,9,.556,0,3,.000,11,11,1.000,0,3,3,5,3,1,2,4,21,21.2,+4
15,8,2011-05-07,WCS,OKC,@,MEM,3,L (-8),0,25:25,4,9,.444,1,5,.200,3,3,1.000,2,3,5,2,1,2,2,2,12,10.6,-20
16,9,2011-05-09,WCS,OKC,@,MEM,4,W (+10),0,49:25,4,11,.364,1,6,.167,10,10,1.000,2,5,7,7,0,3,1,2,19,21.0,+17
17,10,2011-05-11,WCS,OKC,,MEM,5,W (+27),0,26:28,4,8,.500,1,4,.250,0,0,,1,5,6,5,0,0,3,2,9,6.9,+29
18,11,2011-05-13,WCS,OKC,@,MEM,6,L (-12),0,39:20,5,10,.500,2,5,.400,2,3,.667,0,6,6,5,0,0,2,2,14,11.1,-5
19,12,2011-05-15,WCS,OKC,,MEM,7,W (+15),0,31:10,6,10,.600,4,8,.500,1,4,.250,0,4,4,3,4,1,1,0,17,18.2,+24
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,13,2011-05-17,WCF,OKC,@,DAL,1,L (-9),0,35:55,5,9,.556,1,4,.250,1,1,1.000,0,2,2,4,1,1,0,4,12,11.2,-13
22,14,2011-05-19,WCF,OKC,@,DAL,2,W (+6),0,32:21,6,9,.667,4,7,.571,7,8,.875,0,7,7,4,2,0,0,2,23,24.8,+14
23,15,2011-05-21,WCF,OKC,,DAL,3,L (-6),0,35:45,2,9,.222,0,4,.000,3,4,.750,2,7,9,1,1,0,2,2,7,3.5,+5
24,16,2011-05-23,WCF,OKC,,DAL,4,L (-7),0,22:53,3,5,.600,0,0,,1,2,.500,0,7,7,2,1,0,4,6,7,2.4,+4
25,17,2011-05-25,WCF,OKC,@,DAL,5,L (-4),0,34:21,7,11,.636,1,5,.200,8,10,.800,1,4,5,6,1,0,2,1,23,22.0,+3
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1,2012-04-28,WC1,OKC,,DAL,1,W (+1),0,34:31,4,7,.571,2,4,.500,9,10,.900,2,4,6,3,1,0,5,3,19,14.8,-1
28,2,2012-04-30,WC1,OKC,,DAL,2,W (+3),0,33:54,2,7,.286,1,3,.333,10,10,1.000,0,7,7,5,3,0,1,2,15,17.7,+16
29,3,2012-05-03,WC1,OKC,@,DAL,3,W (+16),0,26:21,3,10,.300,0,2,.000,4,6,.667,0,4,4,4,3,0,1,4,10,7.8,+17
30,4,2012-05-05,WC1,OKC,@,DAL,4,W (+6),0,34:26,11,16,.688,3,4,.750,4,5,.800,0,5,5,5,3,1,2,3,29,27.3,+16
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,5,2012-05-14,WCS,OKC,,LAL,1,W (+29),0,24:27,4,11,.364,0,4,.000,9,10,.900,0,2,2,1,2,0,2,3,17,10.6,+3
33,6,2012-05-16,WCS,OKC,,LAL,2,W (+2),0,27:19,3,8,.375,1,3,.333,6,6,1.000,0,3,3,2,2,1,5,3,13,7.4,+5
34,7,2012-05-18,WCS,OKC,@,LAL,3,L (-3),0,29:03,4,13,.308,2,5,.400,11,12,.917,0,4,4,1,3,0,1,5,21,15.0,+1
35,8,2012-05-19,WCS,OKC,@,LAL,4,W (+3),0,32:34,2,11,.182,1,6,.167,7,8,.875,0,6,6,3,0,0,1,3,12,6.4,+8
36,9,2012-05-21,WCS,OKC,,LAL,5,W (+16),0,30:36,6,10,.600,1,2,.500,4,4,1.000,1,7,8,4,1,0,1,3,17,16.8,+19
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,10,2012-05-27,WCF,OKC,@,SAS,1,L (-3),0,30:56,7,17,.412,5,9,.556,0,0,,2,4,6,1,2,0,4,5,19,9.2,-11
39,11,2012-05-29,WCF,OKC,@,SAS,2,L (-9),0,33:55,10,13,.769,0,1,.000,10,13,.769,2,5,7,4,2,0,0,6,30,29.0,+3
40,12,2012-05-31,WCF,OKC,,SAS,3,W (+20),0,26:03,5,10,.500,1,2,.500,4,4,1.000,1,3,4,3,0,0,1,1,15,12.3,+19
41,13,2012-06-02,WCF,OKC,,SAS,4,W (+6),0,32:19,4,13,.308,2,3,.667,1,2,.500,1,6,7,7,1,0,3,2,11,7.7,+12
42,14,2012-06-04,WCF,OKC,@,SAS,5,W (+5),0,34:32,6,11,.545,3,4,.750,5,6,.833,0,4,4,3,2,0,0,3,20,18.4,+24
43,15,2012-06-06,WCF,OKC,,SAS,6,W (+8),0,35:05,4,9,.444,3,4,.750,5,6,.833,0,5,5,4,0,0,3,3,16,11.0,+9
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
