,G,2007 Playoffs,Series,Tm,,Opp,G#,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,2007-04-21,EC1,TOR,,NJN,1,L (-5),0,24:06,2,4,.500,0,0,,1,2,.500,2,4,6,0,1,1,0,4,5,5.3,+3
1,2,2007-04-24,EC1,TOR,,NJN,2,W (+6),0,11:05,0,2,.000,0,0,,0,0,,3,2,5,0,0,0,1,1,0,-0.1,-3
2,3,2007-04-27,EC1,TOR,@,NJN,3,L (-13),0,4:31,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,2,0,-1.8,-5
3,4,2007-04-29,EC1,TOR,@,NJN,4,L (-21),0,14:15,1,2,.500,0,0,,2,6,.333,1,3,4,1,0,1,1,2,4,2.6,+7
4,5,2007-05-01,EC1,TOR,,NJN,5,W (+2),0,2:58,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-3
5,6,2007-05-04,EC1,TOR,@,NJN,6,L (-1),0,12:00,0,1,.000,0,0,,0,0,,1,1,2,0,0,0,0,2,0,-0.5,+3
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,2008-04-20,EC1,TOR,@,ORL,1,L (-14),0,0:14,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
8,2,2008-04-22,EC1,TOR,@,ORL,2,L (-1),0,0:50,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
9,3,2008-04-26,EC1,TOR,,ORL,4,L (-12),0,0:35,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-1
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1,2013-04-20,EC1,BRK,,CHI,1,W (+17),0,7:48,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,0,2,2,0.5,-5
12,2,2013-04-22,EC1,BRK,,CHI,2,L (-8),0,17:58,3,7,.429,0,0,,2,2,1.000,3,2,5,0,0,0,0,2,8,6.2,0
13,3,2013-04-25,EC1,BRK,@,CHI,3,L (-3),0,14:00,2,4,.500,0,0,,0,0,,0,2,2,0,0,1,1,2,4,1.5,-1
14,4,2013-04-27,EC1,BRK,@,CHI,4,L (-8),0,3:57,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,2,0,-0.1,-8
15,5,2013-04-29,EC1,BRK,,CHI,5,W (+19),0,16:00,4,8,.500,0,0,,0,0,,3,3,6,0,1,0,1,2,8,6.2,-1
16,6,2013-05-02,EC1,BRK,@,CHI,6,W (+3),0,10:43,3,5,.600,0,0,,0,1,.000,2,2,4,1,0,0,0,3,6,4.8,-1
17,7,2013-05-04,EC1,BRK,,CHI,7,L (-6),0,12:06,1,5,.200,0,0,,1,4,.250,2,3,5,0,0,1,0,2,3,0.9,-7
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,2015-04-18,EC1,WAS,@,TOR,1,W (+7),Did Not Play,,,,,,,,,,,,,,,,,,,,,
20,,2015-04-21,EC1,WAS,@,TOR,2,W (+11),Did Not Play,,,,,,,,,,,,,,,,,,,,,
21,,2015-04-24,EC1,WAS,,TOR,3,W (+7),Did Not Play,,,,,,,,,,,,,,,,,,,,,
22,1,2015-04-26,EC1,WAS,,TOR,4,W (+31),0,5:14,1,1,1.000,0,0,,0,0,,0,3,3,0,0,0,0,1,2,2.2,-4
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,2015-05-03,ECS,WAS,@,ATL,1,W (+6),Did Not Play,,,,,,,,,,,,,,,,,,,,,
25,,2015-05-05,ECS,WAS,@,ATL,2,L (-16),Did Not Play,,,,,,,,,,,,,,,,,,,,,
26,,2015-05-09,ECS,WAS,,ATL,3,W (+2),Did Not Play,,,,,,,,,,,,,,,,,,,,,
27,,2015-05-11,ECS,WAS,,ATL,4,L (-5),Did Not Play,,,,,,,,,,,,,,,,,,,,,
28,,2015-05-13,ECS,WAS,@,ATL,5,L (-1),Did Not Play,,,,,,,,,,,,,,,,,,,,,
29,,2015-05-15,ECS,WAS,,ATL,6,L (-3),Did Not Play,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,2016-04-16,EC1,ATL,,BOS,1,W (+1),Did Not Play,,,,,,,,,,,,,,,,,,,,,
32,,2016-04-19,EC1,ATL,,BOS,2,W (+17),Did Not Play,,,,,,,,,,,,,,,,,,,,,
33,,2016-04-22,EC1,ATL,@,BOS,3,L (-8),Did Not Play,,,,,,,,,,,,,,,,,,,,,
34,,2016-04-24,EC1,ATL,@,BOS,4,L (-9),Did Not Play,,,,,,,,,,,,,,,,,,,,,
35,1,2016-04-26,EC1,ATL,,BOS,5,W (+27),0,8:48,3,6,.500,2,2,1.000,0,0,,2,2,4,1,0,0,1,3,8,5.5,0
36,,2016-04-28,EC1,ATL,@,BOS,6,W (+12),Did Not Play,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,2016-05-02,ECS,ATL,@,CLE,1,L (-11),Did Not Play,,,,,,,,,,,,,,,,,,,,,
39,2,2016-05-04,ECS,ATL,@,CLE,2,L (-25),0,15:21,4,8,.500,0,1,.000,4,4,1.000,3,6,9,1,1,0,0,1,12,13.2,+2
40,3,2016-05-06,ECS,ATL,,CLE,3,L (-13),0,19:42,4,9,.444,1,3,.333,0,0,,1,3,4,1,1,2,1,3,9,6.8,+12
41,4,2016-05-08,ECS,ATL,,CLE,4,L (-1),0,12:16,2,5,.400,2,4,.500,2,2,1.000,2,5,7,1,0,3,0,2,8,10.2,+4
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,2017-04-16,EC1,ATL,@,WAS,1,L (-7),Did Not Play,,,,,,,,,,,,,,,,,,,,,
44,,2017-04-19,EC1,ATL,@,WAS,2,L (-8),Did Not Play,,,,,,,,,,,,,,,,,,,,,
45,1,2017-04-22,EC1,ATL,,WAS,3,W (+18),0,2:55,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,0,0,0.7,-1
46,,2017-04-24,EC1,ATL,,WAS,4,W (+10),Did Not Play,,,,,,,,,,,,,,,,,,,,,
47,,2017-04-26,EC1,ATL,@,WAS,5,L (-4),Did Not Play,,,,,,,,,,,,,,,,,,,,,
48,,2017-04-28,EC1,ATL,,WAS,6,L (-16),Did Not Play,,,,,,,,,,,,,,,,,,,,,
