,G,2004 Playoffs,Series,Tm,,Opp,G#,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,2004-04-18,EC1,MIA,,NOH,1,W (+2),1,41:32,7,15,.467,0,2,.000,3,5,.600,5,6,11,5,0,1,7,4,17,9.4,+7
1,2,2004-04-21,EC1,MIA,,NOH,2,W (+30),1,32:11,5,11,.455,1,3,.333,2,2,1.000,2,4,6,4,1,2,2,5,13,11.1,+25
2,3,2004-04-24,EC1,MIA,@,NOH,3,L (-6),1,39:19,5,18,.278,1,3,.333,7,10,.700,2,4,6,2,2,2,7,4,18,5.0,-8
3,4,2004-04-27,EC1,MIA,@,NOH,4,L (-11),1,42:05,9,17,.529,0,2,.000,7,7,1.000,2,6,8,6,0,0,2,4,25,20.5,-8
4,5,2004-04-30,EC1,MIA,,NOH,5,W (+4),1,37:00,6,12,.500,1,1,1.000,3,4,.750,0,4,4,2,0,2,3,5,16,8.6,+4
5,6,2004-05-02,EC1,MIA,@,NOH,6,L (-6),1,43:13,3,12,.250,1,3,.333,2,4,.500,4,7,11,4,1,0,6,6,9,1.3,-8
6,7,2004-05-04,EC1,MIA,,NOH,7,W (+8),1,38:59,7,11,.636,1,2,.500,1,2,.500,1,8,9,3,4,0,1,5,16,16.9,+12
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,2004-05-06,ECS,MIA,@,IND,1,L (-13),1,40:43,5,15,.333,0,3,.000,2,4,.500,3,4,7,3,0,1,2,3,12,5.6,-16
9,9,2004-05-08,ECS,MIA,@,IND,2,L (-11),1,32:36,9,17,.529,0,0,,1,2,.500,7,5,12,2,1,1,2,6,19,15.4,-16
10,10,2004-05-10,ECS,MIA,,IND,3,W (+7),1,35:18,5,9,.556,1,2,.500,5,12,.417,2,7,9,3,2,0,4,5,16,10.5,+14
11,11,2004-05-12,ECS,MIA,,IND,4,W (+12),1,43:47,9,13,.692,2,2,1.000,2,2,1.000,1,6,7,2,0,0,1,4,22,17.8,+19
12,12,2004-05-15,ECS,MIA,@,IND,5,L (-11),1,41:44,6,15,.400,0,0,,2,4,.500,1,9,10,1,0,1,3,2,14,6.1,-18
13,13,2004-05-18,ECS,MIA,,IND,6,L (-3),1,41:40,5,17,.294,0,3,.000,12,14,.857,2,6,8,0,4,0,2,5,22,14.5,-6
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1,2006-04-23,WC1,LAL,@,PHO,1,L (-5),1,45:31,8,15,.533,1,4,.250,4,8,.500,3,11,14,3,0,1,4,3,21,15.1,-5
16,2,2006-04-26,WC1,LAL,@,PHO,2,W (+6),1,44:07,9,12,.750,3,5,.600,0,0,,1,6,7,5,2,1,4,3,21,19.7,-3
17,3,2006-04-28,WC1,LAL,,PHO,3,W (+7),1,39:40,5,14,.357,1,6,.167,4,8,.500,4,13,17,4,0,3,3,2,15,13.4,+10
18,4,2006-04-30,WC1,LAL,,PHO,4,W (+1),1,49:17,7,16,.438,0,4,.000,11,14,.786,2,6,8,5,1,1,4,5,25,17.8,+4
19,5,2006-05-02,WC1,LAL,@,PHO,5,L (-17),1,41:47,7,14,.500,0,2,.000,4,5,.800,2,13,15,6,0,1,2,3,18,17.6,-21
20,6,2006-05-04,WC1,LAL,,PHO,6,L (-8),1,51:23,8,14,.571,1,5,.200,5,8,.625,1,10,11,9,0,0,5,3,22,18.0,-8
21,7,2006-05-06,WC1,LAL,@,PHO,7,L (-31),1,41:49,5,14,.357,0,4,.000,2,2,1.000,2,3,5,2,0,1,1,4,12,6.0,-23
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
