,G,2015 Playoffs,Series,Tm,,Opp,G#,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,2015-04-19,EC1,CLE,,BOS,1,W (+13),0,25:37,4,6,.667,0,0,,4,6,.667,4,2,6,1,0,0,0,0,12,12.7,+2
1,2,2015-04-21,EC1,CLE,,BOS,2,W (+8),0,26:21,0,0,,0,0,,0,0,,5,6,11,2,1,0,1,0,0,6.7,-3
2,3,2015-04-23,EC1,CLE,@,BOS,3,W (+8),0,28:06,4,7,.571,0,0,,4,8,.500,5,2,7,0,0,2,1,5,12,9.6,+11
3,4,2015-04-26,EC1,CLE,@,BOS,4,W (+8),0,21:35,1,1,1.000,0,0,,3,4,.750,1,2,3,0,0,0,0,4,5,4.0,-5
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,2015-05-04,ECS,CLE,,CHI,1,L (-7),0,37:00,1,2,.500,0,0,,2,2,1.000,3,5,8,0,0,2,1,1,4,6.6,+4
6,6,2015-05-06,ECS,CLE,,CHI,2,W (+15),1,34:30,2,5,.400,0,0,,1,2,.500,6,6,12,1,0,0,0,4,5,7.0,+20
7,7,2015-05-08,ECS,CLE,@,CHI,3,L (-3),1,41:16,4,8,.500,0,0,,2,2,1.000,4,9,13,1,0,3,0,1,10,13.9,+1
8,8,2015-05-10,ECS,CLE,@,CHI,4,W (+2),1,30:19,5,6,.833,0,0,,2,2,1.000,1,6,7,0,0,0,0,4,12,10.7,0
9,9,2015-05-12,ECS,CLE,,CHI,5,W (+5),1,38:56,5,7,.714,0,0,,2,4,.500,4,6,10,0,0,2,2,2,12,11.5,-2
10,10,2015-05-14,ECS,CLE,@,CHI,6,W (+21),1,40:03,4,11,.364,0,0,,5,5,1.000,6,11,17,0,0,2,0,2,13,15.0,+19
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,11,2015-05-20,ECF,CLE,@,ATL,1,W (+8),1,42:12,5,7,.714,0,0,,4,7,.571,5,5,10,0,0,2,0,3,14,15.1,+7
13,12,2015-05-22,ECF,CLE,@,ATL,2,W (+12),1,41:08,2,6,.333,0,0,,3,9,.333,5,11,16,0,0,2,2,2,7,6.6,+19
14,13,2015-05-24,ECF,CLE,,ATL,3,W (+3),1,42:35,5,7,.714,0,0,,0,3,.000,2,5,7,2,0,2,1,5,10,8.6,-5
15,14,2015-05-26,ECF,CLE,,ATL,4,W (+30),1,30:41,6,8,.750,0,0,,4,8,.500,5,6,11,0,0,1,2,1,16,14.8,+22
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,15,2015-06-04,FIN,CLE,@,GSW,1,L (-8),1,47:09,1,4,.250,0,0,,0,0,,6,9,15,1,1,1,2,3,2,5.7,-6
18,16,2015-06-07,FIN,CLE,@,GSW,2,W (+2),1,39:29,0,5,.000,0,0,,2,4,.500,7,7,14,0,1,1,0,5,2,4.4,-21
19,17,2015-06-09,FIN,CLE,,GSW,3,W (+5),1,44:12,4,6,.667,0,0,,2,4,.500,4,9,13,1,0,0,1,1,10,11.4,+10
