,g,date,age,tm,,opp,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
0,1,2010-10-27,21-225,LAC,L (-10),POR,1,38:36,8,14,.571,0,0,,4,6,.667,9,5,14,4,1,0,2,4,20,20.6,-9
1,2,2010-10-29,21-227,LAC,L (-18),GSW,1,29:13,6,14,.429,0,0,,2,5,.400,6,4,10,3,1,0,4,5,14,7.9,-20
2,3,2010-10-31,21-229,LAC,L (-16),DAL,1,32:19,4,15,.267,0,1,.000,8,12,.667,4,5,9,0,2,0,3,2,16,8.0,-27
3,4,2010-11-01,21-230,LAC,L (-9),SAS,1,39:01,7,13,.538,0,0,,3,7,.429,2,6,8,1,0,1,1,1,17,12.3,-2
4,5,2010-11-03,21-232,LAC,W (+15),OKC,1,32:26,7,12,.583,0,0,,4,10,.400,4,5,9,0,0,0,2,2,18,11.5,-2
5,6,2010-11-05,21-234,LAC,L (-7),DEN,1,33:34,11,18,.611,0,0,,4,4,1.000,5,5,10,3,0,0,1,1,26,23.5,-5
6,7,2010-11-06,21-235,LAC,L (-2),UTA,1,36:59,5,10,.500,0,0,,6,8,.750,3,14,17,2,1,0,5,6,16,11.5,+8
7,8,2010-11-09,21-238,LAC,L (-19),NOH,1,30:06,4,9,.444,0,0,,2,3,.667,1,5,6,0,0,0,1,4,10,4.5,-26
8,9,2010-11-10,21-239,LAC,L (-12),SAS,1,38:12,5,18,.278,0,0,,1,2,.500,2,6,8,3,3,1,2,1,11,6.6,-15
9,10,2010-11-12,21-241,LAC,L (-6),DET,1,43:44,8,15,.533,0,0,,2,5,.400,2,16,18,4,1,2,3,4,18,16.3,-10
10,11,2010-11-15,21-244,LAC,L (-14),NJN,1,30:01,5,8,.625,0,0,,1,4,.250,3,0,3,1,0,0,3,5,11,4.0,-18
11,12,2010-11-17,21-246,LAC,L (-2),MIN,1,36:43,12,22,.545,0,0,,2,5,.400,7,10,17,2,0,0,2,3,26,20.3,-5
12,13,2010-11-18,21-247,LAC,L (-27),IND,1,29:09,6,13,.462,0,0,,0,3,.000,2,6,8,0,0,0,1,0,12,6.3,-10
