,g,date,age,tm,,opp,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
0,1,2015-10-28,18-363,PHO,L (-16),DAL,0,21:20,6,7,.857,1,2,.500,1,3,.333,0,3,3,0,1,0,0,2,14,11.8,+4
1,2,2015-10-30,19-000,PHO,W (+18),POR,0,2:24,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-2.1,-1
2,,2015-10-31,19-001,PHO,W (+11),POR,Did Not Play,,,,,,,,,,,,,,,,,,,,,
3,,2015-11-02,19-003,PHO,L (-6),LAC,Inactive,,,,,,,,,,,,,,,,,,,,,
4,3,2015-11-04,19-005,PHO,W (+21),SAC,0,6:04,2,3,.667,1,1,1.000,0,0,,0,0,0,0,1,1,1,0,5,4.4,-3
5,,2015-11-06,19-007,PHO,L (-8),DET,Did Not Play,,,,,,,,,,,,,,,,,,,,,
6,4,2015-11-08,19-009,PHO,L (-21),OKC,0,9:48,0,3,.000,0,0,,0,0,,0,0,0,1,0,0,0,3,0,-2.6,-5
7,5,2015-11-12,19-013,PHO,W (+14),LAC,0,1:07,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,-1
8,6,2015-11-14,19-015,PHO,W (+24),DEN,0,14:57,2,8,.250,2,3,.667,0,0,,0,2,2,0,0,0,2,0,6,-0.2,+1
9,7,2015-11-16,19-017,PHO,W (+19),LAL,0,2:04,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,2.7,+1
10,8,2015-11-18,19-019,PHO,L (-6),CHI,0,15:09,2,3,.667,2,2,1.000,0,0,,0,1,1,0,0,2,0,2,6,5.6,+9
11,9,2015-11-20,19-021,PHO,W (+7),DEN,0,9:37,0,0,,0,0,,0,0,,0,1,1,1,0,0,1,2,0,-0.8,+18
12,10,2015-11-22,19-023,PHO,L (-6),NOP,0,16:25,5,8,.625,1,1,1.000,4,4,1.000,0,2,2,0,1,0,0,1,15,12.6,-3
13,11,2015-11-23,19-024,PHO,L (-14),SAS,1,24:26,2,5,.400,0,2,.000,0,0,,1,3,4,1,1,0,1,1,4,3.2,-8
14,12,2015-11-25,19-026,PHO,L (-6),NOP,0,9:12,2,3,.667,1,2,.500,0,0,,0,3,3,1,1,0,0,1,5,5.9,+5
15,13,2015-11-27,19-028,PHO,L (-19),GSW,0,24:43,2,5,.400,0,1,.000,2,4,.500,0,0,0,0,1,0,1,3,6,1.3,-2
16,,2015-11-29,19-030,PHO,W (+5),TOR,Did Not Play,,,,,,,,,,,,,,,,,,,,,
17,14,2015-12-01,19-032,PHO,L (-3),BRK,0,7:38,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-2.4,-5
18,15,2015-12-02,19-033,PHO,L (-5),DET,0,22:50,5,6,.833,3,3,1.000,5,5,1.000,0,1,1,1,0,0,0,5,18,14.8,+4
19,16,2015-12-04,19-035,PHO,L (-3),WAS,0,16:03,4,6,.667,0,0,,0,0,,0,1,1,0,1,0,1,1,8,5.3,-6
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,17,2015-12-06,19-037,PHO,L (-2),MEM,0,15:22,2,6,.333,1,1,1.000,0,0,,0,2,2,1,0,0,0,2,5,2.1,-2
22,18,2015-12-07,19-038,PHO,W (+2),CHI,0,32:55,6,10,.600,2,2,1.000,0,0,,0,3,3,5,1,0,1,1,14,13.4,+6
23,19,2015-12-09,19-040,PHO,W (+3),ORL,0,18:48,1,2,.500,0,0,,0,0,,0,0,0,1,0,0,0,3,2,0.5,-10
24,20,2015-12-11,19-042,PHO,L (-10),POR,0,22:07,3,4,.750,2,2,1.000,0,0,,0,1,1,1,0,1,0,1,8,7.7,0
25,21,2015-12-13,19-044,PHO,W (+7),MIN,0,14:24,1,5,.200,0,1,.000,2,2,1.000,1,0,1,1,0,0,1,3,4,0.1,+1
26,22,2015-12-14,19-045,PHO,L (-10),DAL,0,4:47,0,1,.000,0,0,,0,0,,0,1,1,1,0,0,1,0,0,-0.7,0
27,23,2015-12-16,19-047,PHO,L (-25),GSW,0,10:02,0,4,.000,0,3,.000,0,0,,0,0,0,2,0,0,2,2,0,-4.2,-19
28,,2015-12-18,19-049,PHO,W (+16),NOP,Did Not Play,,,,,,,,,,,,,,,,,,,,,
29,24,2015-12-20,19-051,PHO,L (-6),MIL,0,18:01,1,5,.200,0,3,.000,5,5,1.000,0,2,2,2,3,0,1,1,7,7.5,-1
30,25,2015-12-21,19-052,PHO,L (-21),UTA,1,12:35,2,4,.500,0,0,,2,2,1.000,0,0,0,0,0,0,1,2,6,2.2,-20
31,,2015-12-23,19-054,PHO,L (-8),DEN,Did Not Play,,,,,,,,,,,,,,,,,,,,,
32,26,2015-12-26,19-057,PHO,L (-7),PHI,0,19:46,6,11,.545,3,4,.750,4,7,.571,1,0,1,0,0,0,0,4,19,11.6,+13
33,27,2015-12-28,19-059,PHO,L (-4),CLE,1,29:01,5,6,.833,0,1,.000,0,0,,1,2,3,3,0,0,3,2,10,7.4,-7
34,28,2015-12-30,19-061,PHO,L (-33),SAS,1,23:55,4,10,.400,0,1,.000,1,2,.500,0,3,3,0,0,0,2,2,9,1.3,-9
35,29,2015-12-31,19-062,PHO,L (-4),OKC,1,39:01,4,11,.364,0,1,.000,4,4,1.000,1,2,3,5,0,0,5,3,12,4.5,-1
36,30,2016-01-02,19-064,PHO,L (-23),SAC,1,41:42,6,10,.600,2,5,.400,7,8,.875,0,1,1,3,4,0,1,2,21,20.6,-14
37,31,2016-01-03,19-065,PHO,L (-20),LAL,1,22:07,5,13,.385,0,3,.000,0,1,.000,0,4,4,1,1,0,2,3,10,2.2,-30
38,32,2016-01-06,19-068,PHO,W (+9),CHO,0,31:54,7,13,.538,3,5,.600,0,0,,1,9,10,2,1,0,1,2,17,14.7,+10
39,33,2016-01-08,19-070,PHO,L (-8),MIA,1,37:20,6,17,.353,1,7,.143,3,4,.750,2,4,6,2,1,0,2,5,16,7.1,-2
40,34,2016-01-12,19-074,PHO,L (-19),IND,1,29:03,8,12,.667,1,2,.500,2,3,.667,1,1,2,2,0,1,4,5,19,10.5,-10
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,35,2016-01-15,19-077,PHO,L (-14),BOS,1,24:27,2,9,.222,0,4,.000,5,6,.833,1,4,5,0,0,0,3,3,9,0.8,+4
43,36,2016-01-17,19-079,PHO,L (-30),MIN,1,27:23,4,8,.500,0,0,,3,4,.750,0,0,0,0,0,0,0,4,11,5.0,-15
44,37,2016-01-19,19-081,PHO,L (-3),IND,1,39:31,9,16,.563,6,11,.545,8,8,1.000,0,0,0,2,0,0,4,3,32,20.6,-7
45,38,2016-01-21,19-083,PHO,L (-28),SAS,1,43:31,8,16,.500,2,6,.333,6,7,.857,0,1,1,5,0,0,1,4,24,16.8,-23
46,39,2016-01-23,19-085,PHO,W (+3),ATL,1,35:59,6,19,.316,3,9,.333,0,0,,0,2,2,1,2,0,3,6,15,2.0,+13
47,40,2016-01-26,19-088,PHO,L (-10),PHI,1,36:15,5,15,.333,1,3,.333,1,2,.500,0,4,4,7,0,0,0,5,12,7.2,-6
48,41,2016-01-27,19-089,PHO,L (-22),CLE,1,33:31,4,9,.444,1,4,.250,7,8,.875,2,1,3,5,0,0,2,4,16,12.5,-25
49,42,2016-01-29,19-091,PHO,L (-18),NYK,1,26:35,8,15,.533,3,6,.500,2,3,.667,0,0,0,3,0,0,1,5,21,12.4,-16
50,43,2016-01-31,19-093,PHO,L (-13),DAL,1,41:13,6,15,.400,2,6,.333,5,5,1.000,0,7,7,4,0,1,4,6,19,10.1,-6
51,44,2016-02-02,19-095,PHO,L (-7),TOR,1,37:29,9,19,.474,6,14,.429,3,4,.750,0,5,5,0,2,0,4,4,27,14.8,+3
52,45,2016-02-04,19-097,PHO,L (-6),HOU,1,41:02,3,12,.250,2,5,.400,9,10,.900,0,3,3,4,1,0,5,2,17,8.3,-5
53,46,2016-02-06,19-099,PHO,L (-9),UTA,1,33:52,6,14,.429,2,5,.400,4,4,1.000,0,3,3,1,1,0,1,5,18,10.2,-12
54,47,2016-02-08,19-101,PHO,L (-16),OKC,1,28:54,1,8,.125,0,3,.000,4,4,1.000,0,3,3,4,0,1,3,6,6,-0.2,-10
55,48,2016-02-10,19-103,PHO,L (-8),GSW,1,41:35,5,11,.455,1,4,.250,4,6,.667,0,7,7,10,2,0,7,2,15,11.8,-7
56,49,2016-02-19,19-112,PHO,L (-16),HOU,1,30:54,3,11,.273,2,7,.286,2,2,1.000,1,0,1,1,1,0,1,1,10,4.5,-37
57,50,2016-02-21,19-114,PHO,L (-7),SAS,1,24:01,3,9,.333,1,2,.500,3,3,1.000,1,3,4,6,0,0,1,4,10,8.1,-1
58,51,2016-02-22,19-115,PHO,L (-40),LAC,1,25:42,2,10,.200,1,3,.333,0,0,,0,1,1,2,0,0,1,6,5,-2.9,-34
