,g,date,age,tm,,opp,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
0,1,1999-11-02,19-361,LAC,L (-12),SEA,1,43:27,10,18,.556,2,5,.400,8,15,.533,2,10,12,3,2,2,3,1,30,25.1,-7
1,2,1999-11-03,19-362,LAC,L (-23),POR,1,44:21,5,17,.294,1,4,.250,12,14,.857,3,4,7,3,2,0,0,3,23,18.5,-15
2,3,1999-11-05,19-364,LAC,W (+10),PHI,1,40:13,4,9,.444,1,2,.500,9,9,1.000,2,7,9,2,1,3,7,6,18,11.9,+6
3,4,1999-11-08,20-002,LAC,L (-15),UTA,1,38:17,2,10,.200,0,2,.000,6,8,.750,2,6,8,4,1,2,5,3,10,5.2,-12
4,5,1999-11-10,20-004,LAC,L (-5),SAS,1,32:54,4,7,.571,0,0,,8,10,.800,1,6,7,3,1,0,4,6,16,11.1,-15
5,6,1999-11-14,20-008,LAC,L (-20),VAN,1,33:49,6,12,.500,1,1,1.000,3,4,.750,4,8,12,3,2,0,5,5,16,11.9,-15
6,7,1999-11-16,20-010,LAC,L (-8),MIL,1,41:49,9,19,.474,1,4,.250,3,7,.429,4,6,10,5,0,1,1,4,22,16.9,-5
7,8,1999-11-17,20-011,LAC,W (+4),MIN,1,48:00,8,21,.381,0,1,.000,6,9,.667,1,6,7,1,0,1,2,1,22,10.8,+4
8,9,1999-11-19,20-013,LAC,L (-6),TOR,1,42:46,6,16,.375,1,4,.250,3,6,.500,4,3,7,2,0,0,6,6,16,2.7,-12
9,10,1999-11-20,20-014,LAC,W (+9),WAS,1,43:20,8,15,.533,2,5,.400,3,4,.750,0,5,5,3,3,3,5,4,21,15.4,+4
10,11,1999-11-23,20-017,LAC,W (+5),NYK,1,43:07,8,17,.471,1,4,.250,7,8,.875,2,4,6,5,1,2,4,4,24,17.8,+16
11,12,1999-11-26,20-020,LAC,L (-5),SEA,1,38:13,4,11,.364,0,1,.000,5,6,.833,0,8,8,6,2,1,6,2,13,9.0,+1
12,13,1999-11-27,20-021,LAC,L (-17),POR,1,44:59,6,18,.333,3,4,.750,0,2,.000,3,3,6,6,2,2,1,4,15,12.0,-8
13,14,1999-11-30,20-024,LAC,L (-14),PHO,1,39:55,5,14,.357,0,1,.000,4,6,.667,1,4,5,4,2,0,3,5,14,7.1,-7
14,15,1999-12-02,20-026,LAC,L (-13),HOU,1,41:50,7,14,.500,0,2,.000,8,8,1.000,3,5,8,1,0,3,3,6,22,16.0,-8
15,16,1999-12-04,20-028,LAC,L (-13),SEA,1,33:07,5,13,.385,0,1,.000,2,4,.500,4,4,8,3,0,1,1,4,12,8.3,-1
16,17,1999-12-06,20-030,LAC,L (-8),MIA,1,45:21,8,19,.421,1,4,.250,3,4,.750,1,6,7,4,0,2,4,4,20,10.6,-6
17,18,1999-12-08,20-032,LAC,L (-18),ATL,1,41:41,6,18,.333,1,5,.200,3,4,.750,1,1,2,4,3,0,3,2,16,8.4,-15
18,19,1999-12-10,20-034,LAC,L (-24),DET,1,20:03,5,12,.417,0,0,,0,0,,3,1,4,0,1,0,2,5,10,3.0,-1
19,20,1999-12-11,20-035,LAC,L (-18),IND,1,40:47,3,14,.214,0,2,.000,2,3,.667,1,4,5,7,1,2,2,1,8,5.8,-19
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21,1999-12-13,20-037,LAC,W (+12),VAN,1,25:01,4,5,.800,0,0,,0,0,,2,2,4,5,1,0,3,6,8,7.2,+8
22,22,1999-12-14,20-038,LAC,L (-27),LAL,1,22:24,0,4,.000,0,0,,2,4,.500,0,3,3,3,0,1,3,5,2,-2.9,-11
23,23,1999-12-17,20-041,LAC,W (+1),GSW,1,42:56,7,20,.350,0,0,,9,15,.600,3,10,13,7,1,1,6,4,23,13.5,+9
24,24,1999-12-19,20-043,LAC,L (-1),VAN,1,39:29,12,21,.571,2,4,.500,2,8,.250,3,2,5,3,0,4,4,6,28,16.9,+5
25,25,1999-12-22,20-046,LAC,W (+4),GSW,1,42:17,9,17,.529,1,3,.333,3,4,.750,1,10,11,7,2,7,2,3,22,25.6,+1
26,26,1999-12-23,20-047,LAC,W (+6),SAC,1,22:12,5,11,.455,1,1,1.000,2,4,.500,3,6,9,3,0,4,1,4,13,12.7,-12
27,27,1999-12-26,20-050,LAC,W (+3),BOS,1,35:43,6,13,.462,0,1,.000,3,4,.750,2,9,11,3,5,3,4,6,15,14.8,+11
28,28,1999-12-28,20-052,LAC,L (-23),DEN,1,30:35,4,13,.308,0,0,,2,4,.500,4,6,10,5,0,0,2,5,10,5.8,-14
29,29,1999-12-30,20-054,LAC,L (-22),HOU,1,42:02,2,13,.154,0,1,.000,6,8,.750,4,9,13,10,1,0,4,3,10,9.2,-20
30,30,2000-01-04,20-059,LAC,L (-24),LAL,1,39:49,9,19,.474,1,3,.333,3,5,.600,5,7,12,3,2,2,3,2,22,18.8,-22
31,31,2000-01-05,20-060,LAC,L (-17),LAL,1,43:51,9,19,.474,1,4,.250,7,8,.875,4,8,12,5,2,3,4,2,26,23.9,-11
32,32,2000-01-08,20-063,LAC,W (+13),IND,1,38:16,2,11,.182,0,3,.000,4,4,1.000,1,5,6,4,2,1,2,1,8,6.4,0
33,33,2000-01-10,20-065,LAC,L (-5),CLE,1,35:54,8,14,.571,3,4,.750,9,9,1.000,1,6,7,2,1,0,4,6,28,19.9,-2
34,34,2000-01-12,20-067,LAC,L (-7),BOS,1,41:47,10,21,.476,4,7,.571,2,2,1.000,2,7,9,2,0,2,2,5,26,17.6,-1
35,35,2000-01-13,20-068,LAC,L (-5),NJN,1,41:44,11,13,.846,1,1,1.000,3,5,.600,0,4,4,4,1,0,1,3,26,23.3,0
36,36,2000-01-15,20-070,LAC,L (-37),UTA,1,37:49,3,14,.214,1,1,1.000,3,5,.600,2,6,8,4,2,1,4,1,10,4.9,-19
37,37,2000-01-17,20-072,LAC,L (-6),SAS,1,39:14,3,15,.200,0,5,.000,2,2,1.000,2,3,5,5,3,2,2,4,8,5.3,-7
38,38,2000-01-18,20-073,LAC,L (-6),SAC,1,34:24,7,13,.538,1,1,1.000,4,6,.667,3,11,14,2,1,1,3,5,19,15.4,-7
39,39,2000-01-21,20-076,LAC,L (-6),MIN,1,44:42,8,20,.400,0,4,.000,2,5,.400,2,12,14,5,0,1,6,5,18,7.2,-3
40,40,2000-01-23,20-078,LAC,L (-13),ORL,1,25:37,7,12,.583,1,3,.333,3,4,.750,0,5,5,3,0,3,6,5,18,9.7,-13
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,41,2000-01-25,20-080,LAC,L (-23),SAS,1,33:29,8,14,.571,0,0,,0,0,,2,8,10,3,0,1,4,5,16,10.0,-25
43,42,2000-01-27,20-082,LAC,L (-9),DAL,1,41:48,5,10,.500,0,1,.000,11,12,.917,6,6,12,6,3,3,6,5,21,22.9,-7
44,43,2000-01-29,20-084,LAC,W (+5),NJN,1,38:43,10,19,.526,0,1,.000,1,2,.500,5,5,10,3,2,0,3,0,21,17.4,+7
45,44,2000-02-01,20-087,LAC,L (-31),GSW,1,17:18,1,6,.167,0,1,.000,0,0,,1,4,5,0,0,2,2,3,2,-1.7,-9
46,,2000-02-02,20-088,LAC,L (-46),PHO,Did Not Play,,,,,,,,,,,,,,,,,,,,,
47,45,2000-02-05,20-091,LAC,L (-13),DAL,1,23:42,5,12,.417,0,0,,4,11,.364,2,2,4,2,3,0,3,4,14,6.6,-14
48,46,2000-02-06,20-092,LAC,L (-10),CHI,1,26:19,2,2,1.000,0,0,,0,0,,1,1,2,0,1,0,3,4,4,0.8,+4
49,47,2000-02-09,20-095,LAC,L (-7),POR,1,45:04,6,14,.429,2,3,.667,2,2,1.000,3,4,7,6,1,0,1,3,16,14.9,-8
50,48,2000-02-10,20-096,LAC,L (-22),VAN,1,35:29,3,10,.300,0,1,.000,1,1,1.000,1,6,7,7,0,4,3,4,7,6.8,-10
51,,2000-02-15,20-101,LAC,L (-19),MIA,Not With Team,,,,,,,,,,,,,,,,,,,,,
52,49,2000-02-16,20-102,LAC,L (-33),ORL,0,22:32,5,12,.417,0,0,,2,4,.500,2,4,6,2,1,1,2,6,12,6.1,-28
53,50,2000-02-18,20-104,LAC,L (-28),CHH,1,39:15,6,9,.667,1,1,1.000,3,6,.500,2,8,10,6,0,0,2,3,16,15.7,-20
54,51,2000-02-19,20-105,LAC,L (-2),CHI,1,45:30,8,14,.571,1,3,.333,2,3,.667,0,8,8,3,2,1,5,5,19,12.2,-2
55,52,2000-02-21,20-107,LAC,L (-11),NYK,1,44:41,4,11,.364,2,3,.667,4,6,.667,0,3,3,7,1,1,2,4,14,11.0,-13
56,53,2000-02-23,20-109,LAC,L (-16),PHI,1,42:25,8,15,.533,0,1,.000,4,8,.500,2,7,9,2,4,2,2,3,20,18.2,-13
57,54,2000-02-24,20-110,LAC,L (-25),MIN,1,22:32,2,9,.222,0,1,.000,7,8,.875,0,2,2,1,0,0,2,3,11,3.2,-14
58,55,2000-02-26,20-112,LAC,W (+1),ATL,1,38:12,4,16,.250,1,2,.500,1,3,.333,2,10,12,7,3,1,3,2,10,8.8,-3
59,56,2000-02-28,20-114,LAC,L (-19),HOU,0,28:03,6,14,.429,2,2,1.000,6,6,1.000,4,7,11,2,1,2,2,5,20,17.3,-11
60,57,2000-03-04,20-119,LAC,L (-10),CLE,0,19:29,5,8,.625,2,3,.667,5,6,.833,1,1,2,2,1,1,4,6,17,10.7,-1
61,58,2000-03-06,20-121,LAC,L (-20),LAL,1,26:39,6,18,.333,2,5,.400,3,4,.750,3,8,11,4,0,0,5,5,17,6.7,-1
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,59,2000-03-08,20-123,LAC,L (-1),TOR,1,44:47,5,9,.556,0,2,.000,6,6,1.000,0,11,11,8,1,0,8,2,16,12.8,+3
64,60,2000-03-10,20-125,LAC,L (-17),CHH,1,35:36,3,10,.300,1,2,.500,3,6,.500,2,8,10,11,1,1,2,3,10,13.0,-10
65,61,2000-03-12,20-127,LAC,W (+9),GSW,1,45:24,10,19,.526,2,6,.333,7,10,.700,6,8,14,7,0,1,1,3,29,28.5,+9
66,62,2000-03-14,20-129,LAC,W (+4),DEN,1,44:33,8,15,.533,3,5,.600,6,8,.750,0,4,4,9,1,0,2,4,25,21.8,+4
67,63,2000-03-15,20-130,LAC,L (-20),SAC,1,42:09,7,12,.583,0,2,.000,7,7,1.000,2,8,10,10,0,0,2,4,21,22.6,-8
68,64,2000-03-17,20-132,LAC,L (-27),DEN,1,24:12,4,8,.500,0,0,,2,2,1.000,1,3,4,2,1,1,3,4,10,6.1,-16
69,65,2000-03-18,20-133,LAC,L (-21),SAC,1,33:05,7,13,.538,1,1,1.000,3,6,.500,1,8,9,2,2,0,6,6,18,8.6,+5
70,,2000-03-20,20-135,LAC,L (-12),WAS,Did Not Dress,,,,,,,,,,,,,,,,,,,,,
71,66,2000-03-22,20-137,LAC,L (-25),SAS,1,35:04,5,13,.385,0,1,.000,4,6,.667,2,3,5,5,1,1,2,3,14,10.4,-13
72,67,2000-03-23,20-138,LAC,L (-15),HOU,1,41:03,13,21,.619,0,2,.000,2,3,.667,1,5,6,2,0,0,7,3,28,13.5,-20
73,,2000-03-25,20-140,LAC,L (-19),DET,Did Not Dress,,,,,,,,,,,,,,,,,,,,,
74,,2000-03-28,20-143,LAC,L (-10),DAL,Did Not Dress,,,,,,,,,,,,,,,,,,,,,
75,,2000-03-30,20-145,LAC,L (-19),MIL,Did Not Dress,,,,,,,,,,,,,,,,,,,,,
76,68,2000-04-04,20-150,LAC,L (-10),UTA,0,33:19,4,7,.571,1,2,.500,2,2,1.000,1,3,4,5,2,3,3,5,11,11.9,+11
77,69,2000-04-06,20-152,LAC,L (-22),MIN,0,25:32,2,7,.286,1,2,.500,6,8,.750,2,5,7,2,2,0,4,0,11,8.4,-12
