,g,date,age,tm,,opp,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
0,1,2005-11-02,21-038,MIN,W (+4),POR,0,21:32,3,12,.250,0,2,.000,0,1,.000,0,1,1,1,1,1,1,0,6,0.1,+3
1,2,2005-11-04,21-040,MIN,L (-5),SEA,0,4:20,1,4,.250,0,1,.000,0,0,,1,0,1,0,0,0,0,0,2,0.3,-3
2,3,2005-11-05,21-041,MIN,L (-1),LAC,0,3:28,1,3,.333,0,0,,0,0,,0,0,0,0,0,0,0,1,2,-0.1,-7
3,4,2005-11-07,21-043,MIN,W (+15),LAC,0,8:08,3,3,1.000,0,0,,0,2,.000,0,0,0,0,1,1,1,2,6,4.2,-1
4,5,2005-11-09,21-045,MIN,W (+14),LAL,0,16:39,3,7,.429,0,2,.000,0,0,,0,0,0,1,1,0,1,2,6,2.2,+7
5,6,2005-11-13,21-049,MIN,L (-11),DEN,0,18:43,5,9,.556,0,1,.000,4,4,1.000,2,0,2,1,1,1,0,0,14,13.5,0
6,7,2005-11-15,21-051,MIN,L (-5),HOU,0,15:27,3,9,.333,0,4,.000,2,2,1.000,0,2,2,0,1,0,1,1,8,3.1,-10
7,8,2005-11-17,21-053,MIN,W (+11),WAS,0,10:59,0,0,,0,0,,0,0,,0,0,0,2,1,0,0,0,0,2.4,+8
8,9,2005-11-19,21-055,MIN,W (+13),CHA,0,24:52,4,8,.500,1,1,1.000,2,2,1.000,0,4,4,1,2,1,3,2,11,7.8,-1
9,10,2005-11-23,21-059,MIN,L (-4),NOK,0,9:02,1,2,.500,0,0,,3,4,.750,0,0,0,1,0,0,1,2,5,2.5,+3
10,11,2005-11-25,21-061,MIN,W (+8),MIL,0,4:01,0,0,,0,0,,0,0,,0,0,0,0,0,0,2,1,0,-2.4,-6
11,12,2005-11-26,21-062,MIN,W (+4),CLE,0,6:14,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,1,3,2,-1.2,+2
12,13,2005-11-29,21-065,MIN,L (-9),LAC,0,16:27,2,7,.286,1,2,.500,0,0,,0,0,0,0,0,0,1,4,5,-1.7,+9
13,14,2005-12-02,21-068,MIN,W (+5),LAL,0,7:48,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,3,0,-1.9,-8
14,,2005-12-04,21-070,MIN,W (+8),SAC,Did Not Play,,,,,,,,,,,,,,,,,,,,,
15,15,2005-12-05,21-071,MIN,W (+14),UTA,0,13:19,3,6,.500,1,2,.500,0,0,,0,2,2,1,0,0,0,3,7,4.1,-1
16,16,2005-12-07,21-073,MIN,W (+10),POR,0,8:32,2,4,.500,0,0,,1,1,1.000,0,0,0,0,0,0,0,1,5,2.6,+4
17,17,2005-12-10,21-076,MIN,W (+13),LAL,0,7:27,3,6,.500,1,2,.500,1,2,.500,0,0,0,0,1,0,0,3,8,4.4,-2
18,18,2005-12-12,21-078,MIN,L (-1),PHI,0,8:22,3,6,.500,1,3,.333,0,0,,0,0,0,0,0,0,1,0,7,3.0,-3
19,19,2005-12-13,21-079,MIN,L (-2),SAC,0,6:00,0,6,.000,0,4,.000,0,0,,1,0,1,0,0,0,2,1,0,-5.9,-10
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,20,2005-12-15,21-081,MIN,L (-2),SAS,0,8:56,0,2,.000,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-1.5,-12
22,21,2005-12-18,21-084,MIN,L (-7),DAL,0,4:27,0,5,.000,0,1,.000,0,0,,3,0,3,0,0,0,1,2,0,-3.2,-6
23,22,2005-12-21,21-087,MIN,W (+19),NOK,0,24:21,6,10,.600,0,0,,2,2,1.000,1,5,6,1,0,0,3,4,14,7.7,+5
24,23,2005-12-23,21-089,MIN,L (-8),POR,0,8:41,1,1,1.000,0,0,,0,0,,0,1,1,0,1,0,1,3,2,0.8,-4
25,24,2005-12-26,21-092,MIN,L (-14),PHO,0,9:03,1,4,.250,0,1,.000,0,0,,0,3,3,0,1,0,1,1,2,0.1,+5
26,25,2005-12-28,21-094,MIN,W (+13),SEA,0,10:30,2,5,.400,1,1,1.000,2,4,.500,0,2,2,0,0,0,3,2,7,0.3,0
27,26,2005-12-30,21-096,MIN,L (-20),ORL,0,17:08,1,6,.167,0,2,.000,2,3,.667,0,3,3,0,1,1,3,1,4,-1.0,-18
28,27,2006-01-01,21-098,MIN,L (-27),MIA,0,22:02,4,14,.286,3,5,.600,2,4,.500,0,4,4,1,0,0,2,2,13,3.1,+3
29,28,2006-01-04,21-101,MIN,W (+13),DAL,0,6:14,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,1,0,0.6,+2
30,29,2006-01-06,21-103,MIN,L (-6),SAS,0,9:01,1,2,.500,1,1,1.000,0,0,,0,0,0,0,0,0,2,2,3,-0.8,-2
31,30,2006-01-07,21-104,MIN,L (-4),DAL,0,7:11,0,3,.000,0,0,,0,0,,0,0,0,0,1,0,0,3,0,-2.3,-8
32,31,2006-01-10,21-107,MIN,L (-3),MIL,0,3:32,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,2,0,-1.8,-9
33,32,2006-01-11,21-108,MIN,W (+6),CHI,0,5:53,0,3,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-2.5,-2
34,33,2006-01-13,21-110,MIN,W (+14),DEN,0,18:47,5,6,.833,1,1,1.000,0,0,,2,4,6,2,0,1,1,1,11,12.1,-3
35,34,2006-01-16,21-113,MIN,W (+6),NYK,0,13:45,2,5,.400,2,3,.667,0,0,,0,1,1,0,0,0,1,1,6,2.2,-7
36,35,2006-01-18,21-115,MIN,L (-7),BOS,0,9:10,2,3,.667,0,0,,0,0,,0,0,0,1,0,0,0,2,4,2.6,-7
37,36,2006-01-20,21-117,MIN,W (+5),IND,0,9:01,2,5,.400,0,0,,0,0,,0,0,0,1,0,0,0,2,4,1.2,-6
38,37,2006-01-22,21-119,MIN,L (-2),PHI,0,5:36,0,2,.000,0,0,,1,2,.500,0,2,2,0,1,0,0,3,1,-0.4,-2
39,38,2006-01-24,21-121,MIN,L (-24),DET,0,23:50,6,11,.545,0,1,.000,2,4,.500,0,3,3,2,2,0,1,1,14,10.8,-8
40,39,2006-01-25,21-122,MIN,L (-20),MEM,0,19:40,6,9,.667,2,2,1.000,0,0,,2,3,5,1,3,0,2,2,14,13.3,-11
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,40,2006-01-27,21-124,MIN,W (+4),HOU,0,16:38,8,10,.800,2,2,1.000,0,0,,0,1,1,1,0,0,1,0,18,14.2,+16
43,41,2006-01-28,21-125,MIN,L (-14),SAS,0,14:39,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,2,2,0,-4.2,-10
44,42,2006-01-30,21-127,MIN,W (+25),BOS,0,15:39,4,7,.571,2,2,1.000,0,0,,0,2,2,0,0,1,0,2,10,7.2,+8
45,43,2006-02-01,21-129,MIN,L (-16),DET,0,17:12,3,10,.300,0,3,.000,6,6,1.000,1,0,1,2,2,0,0,2,12,9.5,-1
46,44,2006-02-03,21-131,MIN,L (-4),POR,0,6:36,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-1.4,-7
47,45,2006-02-04,21-132,MIN,L (-32),GSW,0,19:49,6,11,.545,0,3,.000,0,0,,2,1,3,0,0,2,1,5,12,6.8,-9
48,46,2006-02-06,21-134,MIN,W (+2),PHO,0,29:14,6,9,.667,2,2,1.000,0,0,,0,1,1,0,0,1,1,1,14,9.7,+10
49,47,2006-02-08,21-136,MIN,L (-6),CLE,0,4:04,0,3,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,1,0,-2.5,-6
50,48,2006-02-10,21-138,MIN,L (-14),UTA,0,19:14,2,9,.222,1,4,.250,0,0,,0,1,1,0,0,1,1,2,5,-1.3,-7
51,49,2006-02-11,21-139,MIN,L (-6),NOK,0,8:32,0,1,.000,0,0,,0,0,,0,1,1,2,0,0,0,1,0,0.6,-3
52,50,2006-02-13,21-141,MIN,L (-4),TOR,0,18:03,3,5,.600,2,4,.500,0,0,,0,1,1,1,0,0,3,2,8,2.9,-1
53,51,2006-02-15,21-143,MIN,W (+10),SEA,0,16:03,3,6,.500,1,3,.333,3,4,.750,0,1,1,0,2,0,2,3,10,5.7,-2
54,52,2006-02-21,21-149,MIN,L (-12),WAS,0,19:05,3,7,.429,2,6,.333,0,0,,0,1,1,1,0,0,0,3,8,4.1,-8
55,53,2006-02-24,21-152,MIN,L (-1),DEN,0,13:32,2,5,.400,1,2,.500,3,4,.750,0,3,3,1,0,1,1,0,8,6.2,+5
56,54,2006-02-26,21-154,MIN,W (+6),MEM,0,23:48,5,9,.556,2,3,.667,0,0,,0,1,1,0,2,2,0,2,12,10.6,+2
57,55,2006-02-28,21-156,MIN,L (-11),CHI,0,29:30,6,14,.429,2,6,.333,4,6,.667,2,2,4,2,1,1,2,4,18,11.3,-3
58,56,2006-03-01,21-157,MIN,W (+10),NJN,0,27:02,7,9,.778,3,3,1.000,4,6,.667,1,5,6,3,1,0,2,3,21,18.8,+19
59,57,2006-03-05,21-161,MIN,W (+13),GSW,0,27:16,5,10,.500,0,3,.000,1,1,1.000,1,0,1,1,0,1,2,4,11,4.5,+13
60,58,2006-03-07,21-163,MIN,L (-6),HOU,0,19:15,1,7,.143,1,3,.333,1,2,.500,0,2,2,1,0,1,0,5,4,-0.9,-6
61,59,2006-03-08,21-164,MIN,L (-3),UTA,0,24:55,6,14,.429,4,7,.571,0,0,,1,3,4,0,1,0,0,1,16,10.8,-1
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,60,2006-03-10,21-166,MIN,L (-11),SEA,0,20:45,3,9,.333,2,6,.333,0,0,,0,1,1,0,0,2,0,5,8,2.6,-6
64,61,2006-03-11,21-167,MIN,L (-8),PHO,0,26:49,5,9,.556,3,5,.600,0,0,,2,3,5,1,1,0,0,4,13,11.1,-2
65,62,2006-03-13,21-169,MIN,L (-8),LAC,0,10:27,2,4,.500,1,3,.333,1,1,1.000,0,3,3,0,0,1,1,3,6,3.4,+2
66,63,2006-03-15,21-171,MIN,L (-3),LAL,0,24:00,7,11,.636,1,2,.500,0,0,,0,1,1,2,2,1,0,0,15,14.5,-2
67,64,2006-03-16,21-172,MIN,L (-8),GSW,0,17:52,3,11,.273,2,5,.400,0,0,,0,0,0,0,1,0,1,4,8,-0.1,-11
68,65,2006-03-19,21-175,MIN,W (+6),SAC,0,22:16,5,10,.500,1,3,.333,0,0,,0,1,1,1,1,0,1,2,11,6.2,+8
69,66,2006-03-21,21-177,MIN,W (+4),MIA,0,13:49,2,3,.667,1,2,.500,0,0,,0,0,0,1,0,0,1,3,5,2.2,+1
70,67,2006-03-23,21-179,MIN,L (-4),NJN,1,8:47,1,3,.333,0,2,.000,0,0,,1,1,2,0,0,0,3,3,2,-2.9,-8
71,68,2006-03-24,21-180,MIN,L (-20),TOR,1,36:08,3,12,.250,3,12,.250,1,2,.500,0,3,3,2,0,0,1,1,10,3.3,-19
72,69,2006-03-26,21-182,MIN,W (+4),NYK,1,30:35,5,9,.556,2,2,1.000,5,5,1.000,1,1,2,3,0,0,2,3,17,12.6,+6
73,70,2006-03-29,21-185,MIN,W (+12),ORL,1,41:14,3,8,.375,2,4,.500,5,8,.625,0,3,3,3,1,0,1,2,13,9.6,+11
74,71,2006-03-31,21-187,MIN,L (-12),DEN,1,25:08,4,8,.500,1,4,.250,1,2,.500,0,2,2,4,1,1,1,6,10,7.3,-5
75,72,2006-04-02,21-189,MIN,W (+2),GSW,1,44:32,6,14,.429,1,4,.250,3,4,.750,2,5,7,1,1,0,0,3,16,11.6,0
76,73,2006-04-04,21-191,MIN,L (-5),CHA,1,31:04,4,7,.571,1,2,.500,1,3,.333,2,2,4,1,0,0,4,5,10,2.6,-2
77,74,2006-04-05,21-192,MIN,L (-2),ATL,1,30:23,6,10,.600,2,5,.400,0,0,,1,3,4,0,0,0,1,4,14,8.4,+9
78,75,2006-04-07,21-194,MIN,L (-8),UTA,1,30:31,5,11,.455,0,3,.000,7,7,1.000,0,4,4,2,2,0,1,4,17,13.3,-5
79,76,2006-04-09,21-196,MIN,W (+1),ATL,1,44:46,12,18,.667,2,4,.500,2,2,1.000,0,2,2,5,2,0,5,4,28,19.7,+4
80,77,2006-04-11,21-198,MIN,L (-16),MEM,1,24:00,4,8,.500,0,1,.000,3,3,1.000,0,3,3,1,1,0,3,4,11,5.0,-8
81,,2006-04-12,21-199,MIN,W (+3),HOU,Did Not Dress,,,,,,,,,,,,,,,,,,,,,
82,,2006-04-14,21-201,MIN,L (-12),IND,Did Not Dress,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,78,2006-04-16,21-203,MIN,L (-13),SAS,0,34:09,8,18,.444,2,5,.400,2,2,1.000,0,6,6,1,1,0,3,4,20,9.5,+5
85,79,2006-04-19,21-206,MIN,L (-10),MEM,1,26:45,6,12,.500,0,3,.000,1,1,1.000,0,2,2,3,1,0,1,3,13,8.5,+8
0,,2006-11-01,22-037,MIN,W (+9),SAC,Inactive,,,,,,,,,,,,,,,,,,,,,
1,,2006-11-03,22-039,MIN,W (+3),DEN,Inactive,,,,,,,,,,,,,,,,,,,,,
2,,2006-11-06,22-042,MIN,L (-12),SAC,Inactive,,,,,,,,,,,,,,,,,,,,,
3,,2006-11-07,22-043,MIN,L (-7),LAL,Inactive,,,,,,,,,,,,,,,,,,,,,
4,,2006-11-11,22-047,MIN,L (-11),ORL,Inactive,,,,,,,,,,,,,,,,,,,,,
5,,2006-11-14,22-050,MIN,W (+12),POR,Inactive,,,,,,,,,,,,,,,,,,,,,
6,,2006-11-17,22-053,MIN,L (-16),CLE,Inactive,,,,,,,,,,,,,,,,,,,,,
7,,2006-11-18,22-054,MIN,L (-3),NOK,Inactive,,,,,,,,,,,,,,,,,,,,,
8,,2006-11-22,22-058,MIN,W (+18),NYK,Inactive,,,,,,,,,,,,,,,,,,,,,
9,,2006-11-24,22-060,MIN,W (+7),NOK,Inactive,,,,,,,,,,,,,,,,,,,,,
10,,2006-11-25,22-061,MIN,W (+8),LAC,Inactive,,,,,,,,,,,,,,,,,,,,,
11,,2006-11-27,22-063,MIN,L (-6),DAL,Inactive,,,,,,,,,,,,,,,,,,,,,
12,,2006-11-28,22-064,MIN,L (-7),HOU,Inactive,,,,,,,,,,,,,,,,,,,,,
13,,2006-12-01,22-067,MIN,L (-14),DEN,Inactive,,,,,,,,,,,,,,,,,,,,,
14,,2006-12-03,22-069,MIN,W (+11),PHI,Inactive,,,,,,,,,,,,,,,,,,,,,
15,,2006-12-06,22-072,MIN,W (+6),HOU,Inactive,,,,,,,,,,,,,,,,,,,,,
16,,2006-12-08,22-074,MIN,W (+7),UTA,Inactive,,,,,,,,,,,,,,,,,,,,,
17,,2006-12-09,22-075,MIN,W (+10),CHI,Inactive,,,,,,,,,,,,,,,,,,,,,
18,,2006-12-13,22-079,MIN,L (-13),SAS,Inactive,,,,,,,,,,,,,,,,,,,,,
19,,2006-12-16,22-082,MIN,L (-4),MIL,Inactive,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,2006-12-20,22-086,MIN,L (-17),LAL,Inactive,,,,,,,,,,,,,,,,,,,,,
22,,2006-12-22,22-088,MIN,L (-6),MIL,Inactive,,,,,,,,,,,,,,,,,,,,,
23,,2006-12-23,22-089,MIN,W (+7),IND,Inactive,,,,,,,,,,,,,,,,,,,,,
24,,2006-12-26,22-092,MIN,W (+2),CHI,Inactive,,,,,,,,,,,,,,,,,,,,,
25,,2006-12-27,22-093,MIN,L (-3),TOR,Inactive,,,,,,,,,,,,,,,,,,,,,
26,,2006-12-29,22-095,MIN,W (+19),SEA,Inactive,,,,,,,,,,,,,,,,,,,,,
27,,2006-12-30,22-096,MIN,L (-8),NJN,Inactive,,,,,,,,,,,,,,,,,,,,,
28,,2007-01-01,22-098,MIN,W (+6),CHA,Inactive,,,,,,,,,,,,,,,,,,,,,
29,,2007-01-03,22-100,MIN,W (+2),SAS,Inactive,,,,,,,,,,,,,,,,,,,,,
30,,2007-01-05,22-102,MIN,W (+2),PHI,Inactive,,,,,,,,,,,,,,,,,,,,,
31,,2007-01-07,22-104,MIN,W (+4),HOU,Inactive,,,,,,,,,,,,,,,,,,,,,
32,,2007-01-10,22-107,MIN,L (-1),LAC,Inactive,,,,,,,,,,,,,,,,,,,,,
33,,2007-01-12,22-109,MIN,W (+6),MEM,Inactive,,,,,,,,,,,,,,,,,,,,,
34,,2007-01-13,22-110,MIN,W (+11),NJN,Inactive,,,,,,,,,,,,,,,,,,,,,
35,,2007-01-15,22-112,MIN,W (+4),DET,Inactive,,,,,,,,,,,,,,,,,,,,,
36,,2007-01-17,22-114,MIN,L (-17),ATL,Inactive,,,,,,,,,,,,,,,,,,,,,
37,,2007-01-19,22-116,MIN,L (-6),DET,Inactive,,,,,,,,,,,,,,,,,,,,,
38,,2007-01-21,22-118,MIN,L (-29),PHO,Inactive,,,,,,,,,,,,,,,,,,,,,
39,,2007-01-22,22-119,MIN,L (-15),UTA,Inactive,,,,,,,,,,,,,,,,,,,,,
40,,2007-01-24,22-121,MIN,L (-3),POR,Inactive,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,2007-01-26,22-123,MIN,L (-2),SEA,Inactive,,,,,,,,,,,,,,,,,,,,,
43,,2007-01-27,22-124,MIN,W (+14),LAC,Did Not Play,,,,,,,,,,,,,,,,,,,,,
44,,2007-01-29,22-126,MIN,W (+9),PHO,Did Not Play,,,,,,,,,,,,,,,,,,,,,
45,1,2007-01-31,22-128,MIN,L (-2),SAC,0,4:38,1,1,1.000,0,0,,0,0,,0,0,0,0,0,1,0,1,2,2.0,+1
46,2,2007-02-02,22-130,MIN,L (-7),NOK,0,4:52,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,1,0,-0.4,+1
47,3,2007-02-03,22-131,MIN,L (-1),DAL,0,3:39,0,3,.000,0,2,.000,0,0,,2,0,2,0,0,0,0,0,0,-0.7,-3
48,4,2007-02-05,22-133,MIN,L (-28),HOU,0,10:58,0,3,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,1,0,-3.5,+8
49,5,2007-02-07,22-135,MIN,W (+28),GSW,0,10:20,3,7,.429,1,3,.333,3,4,.750,0,0,0,1,2,0,2,1,10,6.2,+9
50,6,2007-02-09,22-137,MIN,L (-8),MEM,0,3:47,1,4,.250,1,2,.500,0,0,,1,0,1,1,0,0,2,0,3,0.0,-8
51,7,2007-02-11,22-139,MIN,W (+2),BOS,0,12:50,3,6,.500,2,4,.500,2,2,1.000,0,0,0,1,0,0,1,1,10,6.3,+2
52,8,2007-02-14,22-142,MIN,W (+5),DEN,0,24:44,5,8,.625,2,4,.500,0,0,,1,2,3,2,1,0,2,3,12,8.9,+8
53,9,2007-02-20,22-148,MIN,L (-12),WAS,0,9:39,0,2,.000,0,2,.000,2,4,.500,0,1,1,0,0,0,2,4,2,-3.5,-10
54,10,2007-02-21,22-149,MIN,L (-5),CHA,0,14:44,2,6,.333,0,0,,1,2,.500,0,0,0,3,1,0,0,1,5,3.9,+4
55,11,2007-02-23,22-151,MIN,L (-12),PHO,0,8:21,2,5,.400,1,2,.500,0,0,,0,0,0,0,1,0,0,3,5,2.1,-9
56,12,2007-02-25,22-153,MIN,W (+4),WAS,0,8:18,0,5,.000,0,0,,2,2,1.000,1,1,2,0,1,1,0,1,2,0.8,+7
57,13,2007-02-27,22-155,MIN,L (-26),DAL,0,17:59,2,7,.286,0,4,.000,0,0,,0,0,0,1,2,0,1,2,4,0.8,-16
58,14,2007-03-02,22-158,MIN,L (-26),UTA,0,3:09,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,0,2,1.0,+2
59,15,2007-03-04,22-160,MIN,L (-7),BOS,0,31:58,0,2,.000,0,2,.000,0,0,,0,2,2,3,1,0,2,6,0,-2.1,-8
60,16,2007-03-06,22-162,MIN,W (+10),LAL,0,22:17,2,4,.500,0,0,,1,2,.500,1,1,2,0,2,0,3,2,5,1.8,+13
