,g,date,age,tm,,opp,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
0,1,2011-12-26,20-288,CLE,L (-8),TOR,0,17:17,4,6,.667,0,0,,4,6,.667,2,3,5,0,0,0,0,2,12,10.1,+3
1,2,2011-12-28,20-290,CLE,W (+16),DET,0,24:34,5,8,.625,0,0,,0,0,,1,3,4,1,1,2,3,1,10,7.7,+18
2,3,2011-12-30,20-292,CLE,L (-7),IND,0,17:08,1,3,.333,0,0,,0,0,,1,1,2,0,0,2,2,4,2,-0.9,-4
3,4,2012-01-01,20-294,CLE,W (+16),NJN,0,16:33,4,5,.800,0,0,,1,6,.167,3,3,6,0,0,3,0,2,9,9.4,-6
4,5,2012-01-03,20-296,CLE,W (+14),CHA,0,24:04,7,16,.438,0,0,,2,6,.333,5,4,9,1,0,2,0,4,16,11.2,+5
5,6,2012-01-04,20-297,CLE,L (-15),TOR,0,16:27,0,5,.000,0,0,,1,2,.500,0,3,3,0,0,1,0,1,1,-1.7,-5
6,7,2012-01-06,20-299,CLE,W (+11),MIN,0,14:00,1,2,.500,0,0,,0,0,,0,2,2,0,0,0,2,3,2,-1.6,+5
7,8,2012-01-08,20-301,CLE,L (-20),POR,0,17:18,4,6,.667,0,0,,2,4,.500,1,4,5,0,0,3,3,2,10,6.8,-2
8,9,2012-01-10,20-303,CLE,L (-8),UTA,0,15:34,4,5,.800,0,0,,1,3,.333,3,2,5,0,2,1,2,2,9,8.9,-7
9,10,2012-01-12,20-305,CLE,W (+11),PHO,0,14:47,3,7,.429,0,0,,1,3,.333,3,3,6,0,0,0,2,1,7,3.1,-8
10,11,2012-01-13,20-306,CLE,L (-5),LAL,0,18:47,4,9,.444,0,0,,1,2,.500,2,6,8,0,0,0,1,1,9,5.7,+4
11,12,2012-01-16,20-309,CLE,W (+8),CHA,0,19:15,4,8,.500,0,0,,0,3,.000,0,2,2,0,0,1,1,3,8,1.9,+4
12,13,2012-01-17,20-310,CLE,L (-10),GSW,0,18:28,2,9,.222,0,0,,1,3,.333,4,5,9,0,0,1,1,2,5,1.9,-8
